"eventId","id","name","order"
53942,100,"winner",100
53994,1,"APPLE",1
53994,2,"KIWI",2
53994,100,"winner",100
54351,1,"Division 1",1
54393,1,"Division 1",1
51510,1,"Default Division",1
51511,1,"Default Division",1
54469,1,"Default Division",1
54736,1,"Division 1",1
54548,1,"Division 1",1
53779,1,"Division 1",1
51609,1,"Division 1",1
51654,1,"Division 1",1
51832,1,"Division 1",1
52042,1,"Division 1",1
52299,1,"Division 1",1
52420,1,"Division 1",1
52426,1,"Division 1",1
52649,1,"Default",1
52650,1,"Default Division",1
53064,1,"Division 1",1
53250,1,"Default Division",1
53894,1,"Division 1",1
54086,1,"Division 1",1
54103,1,"Division 1",1
54154,1,"Division 1",1
54238,1,"Division 1",1
54246,1,"Division 1",1
54300,1,"Division 1",1
54430,1,"Division 1",1
54463,1,"Division 1",1
54485,1,"Division 1",1
54518,1,"Division 1",1
54567,1,"Division 1",1
54666,1,"Division 1",1
54730,1,"Division 1",1
54804,1,"Division 1",1
54805,1,"Division 1",1
55079,1,"Division 1",1
53630,1,"Division 1",1
54196,1,"Division 1",1
55021,1,"Default",1
55166,1,"Division 1",1
53091,1,"Division 1",1
54256,1,"Division 1",1
55078,1,"Division 1",1
52656,1,"Division 1",1
54498,1,"Division 1",1
54877,1,"Default",1
51871,1,"Division 1",1
54946,1,"Division 1",1
51982,1,"Division 1",1
52297,1,"Division 1",1
52303,1,"Default Division",1
52439,1,"Division 1",1
52551,1,"Division 1",1
52766,1,"Division 1",1
52819,1,"Division 1",1
52888,1,"Division 1",1
52897,1,"Default Division",1
52919,1,"Division 1",1
52966,1,"Division 1",1
53037,1,"Division 1",1
53219,1,"Division 1",1
53244,1,"Division 1",1
53291,1,"Division 1",1
53294,1,"Division 1",1
53311,1,"Division 1",1
53385,1,"Division 1",1
53583,1,"Division 1",1
53622,1,"Division 1",1
53640,1,"Division 1",1
53706,1,"Division 1",1
53742,1,"Default",1
53743,1,"Default",1
53748,1,"Division 1",1
53772,1,"Division 1",1
53785,1,"Division 1",1
53951,1,"Division 1",1
53952,1,"Division 1",1
53984,1,"Division 1",1
54139,1,"Division 1",1
54183,1,"Default",1
54194,1,"Division 1",1
54216,1,"Division 1",1
54239,1,"Division 1",1
54266,1,"Division 1",1
54285,1,"Division 1",1
54468,1,"Division 1",1
54512,1,"Default",1
54526,1,"Division 1",1
54527,1,"Division 1",1
54530,1,"Division 1",1
54550,1,"Division 1",1
54608,1,"Division 1",1
54656,1,"Division 1",1
54663,1,"Division 1",1
54667,1,"Division 1",1
54722,1,"Division 1",1
54775,1,"Division 1",1
54785,1,"Division 1",1
54787,1,"Division 1",1
54942,1,"Default",1
55017,1,"Default",1
55047,1,"Default",1
52222,1,"Division 1",1
52223,1,"Division 1",1
53516,1,"Division 1",1
53940,1,"Default",1
53963,1,"Division 1",1
55048,1,"Division 1",1
53273,1,"Division 1",1
54414,1,"Default Division",1
51512,1,"Division 1",1
51513,1,"Division 1",1
53356,1,"Division 1",1
54707,1,"Division 1",1
52663,1,"Default",1
54177,1,"Division 1",1
54207,1,"Default",1
54709,1,"Division 1",1
51611,1,"Division 1",1
51802,1,"Middle School",1
51803,1,"Elementary School",1
51897,1,"Division 1",1
51898,1,"Division 1",1
52304,1,"Default",1
52308,1,"Division 1",1
52345,1,"Division 1",1
52449,1,"Division 1",1
52509,1,"Default",1
52571,1,"Division 1",1
52636,1,"FCS Middle School Robotics County Championship",1
52637,1,"Default Division",1
52665,1,"Division 1",1
52673,1,"Division 1",1
52680,1,"Division 1",1
52876,1,"Division 1",1
52920,1,"Division 1",1
52963,1,"Default",1
52986,1,"Division 1",1
53004,1,"Division 1",1
53027,1,"Default Division",1
53063,1,"Division 1",1
53220,1,"Division 1",1
53221,1,"Division 1",1
53348,1,"Division 1",1
53398,1,"Division 1",1
53426,1,"Division 1",1
53469,1,"Division 1",1
53518,1,"Default Division",1
53621,1,"Division 1",1
53627,1,"Division 1",1
53631,1,"Division 1",1
53747,1,"Division 1",1
53789,1,"Division 1",1
53842,1,"Division 1",1
53914,1,"Division 1",1
53915,1,"Division 1",1
53947,1,"Division 1",1
54019,1,"Default Division",1
54023,1,"Division 1",1
54032,1,"Division 1",1
54053,1,"Division 1",1
54054,1,"Division 1",1
54121,1,"Division 1",1
54130,1,"Division 1",1
54160,1,"Division 1",1
54171,1,"IQ Division",1
54185,1,"Division 1",1
54258,1,"Division 1",1
54265,1,"Division 1",1
54302,1,"Division 1",1
54335,1,"Division 1",1
54369,1,"Division 1",1
54377,1,"Division 1",1
54406,1,"Division 1",1
54422,1,"Division 1",1
54442,1,"Division 1",1
