"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
36959629,"programming",,18,0,0,52238,"25353A",181
36959630,"driver",,19,0,0,52238,"9698W",181
36959631,"programming",,19,4,1,52238,"9698W",181
36965320,"driver",,1,132,2,52050,"18501A",181
36965321,"programming",,1,121,3,52050,"18501A",181
36965322,"driver",,2,145,3,52050,"18522S",181
36965323,"programming",,2,99,3,52050,"18522S",181
36965324,"driver",,3,131,2,52050,"13800C",181
36965325,"programming",,3,87,2,52050,"13800C",181
36965326,"driver",,4,107,3,52050,"9123A",181
36965327,"programming",,4,110,3,52050,"9123A",181
36965328,"driver",,5,122,2,52050,"91233B",181
36965329,"programming",,5,95,1,52050,"91233B",181
36965330,"driver",,6,113,3,52050,"3219B",181
36965331,"programming",,6,101,3,52050,"3219B",181
36965332,"driver",,7,103,3,52050,"761A",181
36965333,"programming",,7,103,3,52050,"761A",181
36965334,"driver",,8,126,3,52050,"88825A",181
36965335,"programming",,8,75,3,52050,"88825A",181
36965336,"driver",,9,109,3,52050,"3793C",181
36965337,"programming",,9,87,3,52050,"3793C",181
36965338,"driver",,10,105,2,52050,"18522W",181
36965339,"programming",,10,86,2,52050,"18522W",181
36965340,"driver",,11,109,3,52050,"3793D",181
36965341,"programming",,11,82,3,52050,"3793D",181
36965342,"driver",,12,105,2,52050,"9123Y",181
36965343,"programming",,12,77,1,52050,"9123Y",181
36965344,"driver",,13,84,3,52050,"99788A",181
36965345,"programming",,13,95,3,52050,"99788A",181
36965346,"driver",,14,64,1,52050,"665A",181
36965347,"programming",,14,56,1,52050,"665A",181
36965348,"driver",,15,118,2,52050,"3219A",181
36965349,"programming",,15,0,1,52050,"3219A",181
36965350,"driver",,16,90,2,52050,"21102A",181
36965351,"programming",,16,24,2,52050,"21102A",181
36965352,"driver",,17,112,1,52050,"18522Z",181
36965353,"programming",,17,0,0,52050,"18522Z",181
36965354,"driver",,18,46,2,52050,"3793A",181
36965355,"programming",,18,65,1,52050,"3793A",181
36965356,"driver",,19,55,3,52050,"3793B",181
36965357,"programming",,19,54,3,52050,"3793B",181
36965358,"driver",,20,98,2,52050,"906A",181
36965359,"programming",,20,2,2,52050,"906A",181
36965360,"driver",,21,86,3,52050,"857Y",181
36965361,"programming",,21,9,3,52050,"857Y",181
36965362,"driver",,22,88,2,52050,"91233A",181
36965363,"programming",,22,0,0,52050,"91233A",181
36965364,"driver",,23,78,1,52050,"18511B",181
36965365,"programming",,23,0,0,52050,"18511B",181
36965366,"driver",,24,76,1,52050,"66631H",181
36965367,"programming",,24,0,0,52050,"66631H",181
36965368,"driver",,25,63,3,52050,"60818C",181
36965369,"programming",,25,6,1,52050,"60818C",181
36965370,"driver",,26,66,1,52050,"8032A",181
36965371,"programming",,26,0,0,52050,"8032A",181
36965372,"driver",,27,63,3,52050,"60818B",181
36965373,"programming",,27,0,0,52050,"60818B",181
36965374,"driver",,28,57,1,52050,"3219C",181
36965375,"programming",,28,0,0,52050,"3219C",181
36965376,"driver",,29,40,1,52050,"7588C",181
36965377,"programming",,29,0,0,52050,"7588C",181
36965378,"driver",,30,38,1,52050,"7588B",181
36965379,"programming",,30,0,0,52050,"7588B",181
36965380,"driver",,31,16,2,52050,"3219D",181
36965381,"programming",,31,18,2,52050,"3219D",181
36965382,"driver",,32,0,0,52050,"91233Y",181
36965383,"programming",,32,4,1,52050,"91233Y",181
36965384,"driver",,1,143,3,52051,"81988E",181
36965385,"programming",,1,156,2,52051,"81988E",181
36965386,"driver",,2,151,3,52051,"28666A",181
36965387,"programming",,2,136,3,52051,"28666A",181
36965388,"driver",,3,144,3,52051,"18522R",181
36965389,"programming",,3,107,3,52051,"18522R",181
36965390,"driver",,4,139,1,52051,"28666B",181
36965391,"programming",,4,108,2,52051,"28666B",181
36965392,"driver",,5,136,3,52051,"74000M",181
36965393,"programming",,5,104,3,52051,"74000M",181
36965394,"driver",,6,121,2,52051,"9123W",181
36965395,"programming",,6,116,3,52051,"9123W",181
36965396,"driver",,7,128,3,52051,"7925B",181
36965397,"programming",,7,98,3,52051,"7925B",181
36965398,"driver",,8,128,2,52051,"7925X",181
36965399,"programming",,8,96,3,52051,"7925X",181
36965400,"driver",,9,122,2,52051,"18522Y",181
36965401,"programming",,9,99,3,52051,"18522Y",181
36965402,"driver",,10,109,3,52051,"9123C",181
36965403,"programming",,10,111,3,52051,"9123C",181
36965404,"driver",,11,117,1,52051,"9123D",181
36965405,"programming",,11,82,1,52051,"9123D",181
36965406,"driver",,12,100,3,52051,"906R",181
36965407,"programming",,12,93,3,52051,"906R",181
36965408,"driver",,13,92,3,52051,"74000V",181
36965409,"programming",,13,93,3,52051,"74000V",181
36965410,"driver",,14,62,2,52051,"8223A",181
36965411,"programming",,14,57,2,52051,"8223A",181
36965412,"driver",,15,90,1,52051,"88X",181
36965413,"programming",,15,0,0,52051,"88X",181
36965414,"driver",,16,79,1,52051,"10725R",181
36965415,"programming",,16,0,0,52051,"10725R",181
36965416,"driver",,17,47,1,52051,"66866A",181
36965417,"programming",,17,0,0,52051,"66866A",181
36965418,"driver",,18,35,1,52051,"36832A",181
36965419,"programming",,18,6,2,52051,"36832A",181
36965420,"driver",,19,31,1,52051,"51121E",181
36965421,"programming",,19,5,2,52051,"51121E",181
36965422,"driver",,20,22,1,52051,"66866B",181
36965423,"programming",,20,0,0,52051,"66866B",181
36965424,"driver",,21,0,0,52051,"94815B",181
36965425,"programming",,21,2,1,52051,"94815B",181
36963082,"driver",,1,161,1,52229,"54001Z",181
36963083,"programming",,1,150,2,52229,"54001Z",181
36963084,"driver",,2,111,3,52229,"54001B",181
36963085,"programming",,2,131,1,52229,"54001B",181
36963086,"driver",,3,128,1,52229,"54009B",181
36963087,"programming",,3,81,1,52229,"54009B",181
36963088,"driver",,4,92,1,52229,"7258B",181
36963089,"programming",,4,0,0,52229,"7258B",181
36963090,"driver",,5,89,1,52229,"13145A",181
36963091,"programming",,5,0,0,52229,"13145A",181
36963092,"driver",,6,87,3,52229,"13141B",181
36963093,"programming",,6,0,0,52229,"13141B",181
36963094,"driver",,7,84,1,52229,"692R",181
36963095,"programming",,7,0,0,52229,"692R",181
36963096,"driver",,8,49,3,52229,"77749B",181
36963097,"programming",,8,0,0,52229,"77749B",181
36963098,"driver",,9,36,1,52229,"79001A",181
36963099,"programming",,9,0,0,52229,"79001A",181
36963100,"driver",,10,31,3,52229,"77749A",181
36963101,"programming",,10,0,0,52229,"77749A",181
36963102,"driver",,11,18,3,52229,"68086A",181
36963103,"programming",,11,5,1,52229,"68086A",181
37038234,"driver",,1,142,3,53375,"56666E",181
37038235,"programming",,1,107,1,53375,"56666E",181
37038236,"driver",,2,143,2,53375,"56666H",181
37038237,"programming",,2,91,3,53375,"56666H",181
37038238,"driver",,3,131,3,53375,"56666A",181
37038239,"programming",,3,102,3,53375,"56666A",181
37038240,"driver",,4,114,3,53375,"61114X",181
37038241,"programming",,4,114,3,53375,"61114X",181
37038242,"driver",,5,109,2,53375,"4275H",181
37038243,"programming",,5,104,2,53375,"4275H",181
37038244,"driver",,6,106,3,53375,"56789S",181
37038245,"programming",,6,76,3,53375,"56789S",181
37038246,"driver",,7,109,3,53375,"906Y",181
37038247,"programming",,7,72,1,53375,"906Y",181
37038248,"driver",,8,95,2,53375,"56789D",181
37038249,"programming",,8,81,3,53375,"56789D",181
37038250,"driver",,9,101,1,53375,"60800A",181
37038251,"programming",,9,71,1,53375,"60800A",181
37038252,"driver",,10,141,1,53375,"80088A",181
37038253,"programming",,10,24,1,53375,"80088A",181
37038254,"driver",,11,94,2,53375,"906C",181
37038255,"programming",,11,55,1,53375,"906C",181
37038256,"driver",,12,70,2,53375,"5868E",181
37038257,"programming",,12,74,1,53375,"5868E",181
37038258,"driver",,13,110,2,53375,"56789A",181
37038259,"programming",,13,30,1,53375,"56789A",181
37038260,"driver",,14,109,1,53375,"80088C",181
37038261,"programming",,14,24,1,53375,"80088C",181
37038262,"driver",,15,98,1,53375,"5864E",181
37038263,"programming",,15,10,3,53375,"5864E",181
37038264,"driver",,16,99,2,53375,"56787K",181
37038265,"programming",,16,2,1,53375,"56787K",181
37038266,"driver",,17,93,2,53375,"70030A",181
37038267,"programming",,17,0,0,53375,"70030A",181
37038268,"driver",,18,91,3,53375,"906G",181
37038269,"programming",,18,0,0,53375,"906G",181
37038270,"driver",,19,83,1,53375,"4413A",181
37038271,"programming",,19,0,0,53375,"4413A",181
37038272,"driver",,20,45,1,53375,"71467F",181
37038273,"programming",,20,34,1,53375,"71467F",181
37038274,"driver",,21,43,1,53375,"5868D",181
37038275,"programming",,21,34,1,53375,"5868D",181
37038276,"driver",,22,72,3,53375,"906B",181
37038277,"programming",,22,0,0,53375,"906B",181
37038278,"driver",,23,70,2,53375,"4413U",181
