"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
40152494,"driver",,79,41,1,52043,"66196D",180
40152495,"programming",,79,0,0,52043,"66196D",180
40152496,"driver",,79,41,1,52043,"5666C",180
40152497,"programming",,79,0,0,52043,"5666C",180
40152498,"driver",,79,41,1,52043,"83089E",180
40152499,"programming",,79,0,0,52043,"83089E",180
40152500,"driver",,83,40,2,52043,"67777U",180
40152501,"programming",,83,0,0,52043,"67777U",180
40152502,"driver",,84,39,2,52043,"66186D",180
40152503,"programming",,84,0,0,52043,"66186D",180
40152504,"driver",,85,39,1,52043,"98888B",180
40152505,"programming",,85,0,0,52043,"98888B",180
40152506,"driver",,86,39,1,52043,"50596B",180
40152507,"programming",,86,0,0,52043,"50596B",180
40152508,"driver",,87,37,1,52043,"71548B",180
40152509,"programming",,87,0,0,52043,"71548B",180
40152510,"driver",,88,35,2,52043,"22988A",180
40152511,"programming",,88,0,0,52043,"22988A",180
40152512,"driver",,89,34,1,52043,"81020E",180
40152513,"programming",,89,0,0,52043,"81020E",180
40152514,"driver",,90,34,1,52043,"89666V",180
40152515,"programming",,90,0,0,52043,"89666V",180
40152516,"driver",,91,34,1,52043,"4396B",180
40152517,"programming",,91,0,0,52043,"4396B",180
40152518,"driver",,91,34,1,52043,"3999C",180
40152519,"programming",,91,0,0,52043,"3999C",180
40152520,"driver",,93,33,3,52043,"66196B",180
40152521,"programming",,93,0,0,52043,"66196B",180
40152522,"driver",,94,31,1,52043,"72333G",180
40152523,"programming",,94,0,0,52043,"72333G",180
40152524,"driver",,94,31,1,52043,"83089D",180
40152525,"programming",,94,0,0,52043,"83089D",180
40152526,"driver",,96,30,3,52043,"66196E",180
40152527,"programming",,96,0,0,52043,"66196E",180
40152528,"driver",,97,30,1,52043,"75161D",180
40152529,"programming",,97,0,0,52043,"75161D",180
40152530,"driver",,98,30,1,52043,"66063C",180
40152531,"programming",,98,0,0,52043,"66063C",180
40152532,"driver",,99,29,1,52043,"91919A",180
40152533,"programming",,99,0,0,52043,"91919A",180
40152534,"driver",,99,29,1,52043,"3999B",180
40152535,"programming",,99,0,0,52043,"3999B",180
40152536,"driver",,101,29,1,52043,"5888C",180
40152537,"programming",,101,0,0,52043,"5888C",180
40152538,"driver",,101,29,1,52043,"83089C",180
40152539,"programming",,101,0,0,52043,"83089C",180
40152540,"driver",,103,28,3,52043,"27116B",180
40152541,"programming",,103,0,0,52043,"27116B",180
40152542,"driver",,104,28,2,52043,"4396D",180
40152543,"programming",,104,0,0,52043,"4396D",180
40152544,"driver",,105,28,1,52043,"66026E",180
40152545,"programming",,105,0,0,52043,"66026E",180
40152546,"driver",,106,27,2,52043,"66196C",180
40152547,"programming",,106,0,0,52043,"66196C",180
40152548,"driver",,107,27,1,52043,"50596D",180
40152549,"programming",,107,0,0,52043,"50596D",180
40152550,"driver",,107,27,1,52043,"3666A",180
40152551,"programming",,107,0,0,52043,"3666A",180
40152552,"driver",,109,25,1,52043,"13090B",180
40152553,"programming",,109,0,0,52043,"13090B",180
40152554,"driver",,110,20,2,52043,"76767A",180
40152555,"programming",,110,0,0,52043,"76767A",180
40152556,"driver",,111,20,1,52043,"66196A",180
40152557,"programming",,111,0,0,52043,"66196A",180
40152558,"driver",,112,19,1,52043,"66186C",180
40152559,"programming",,112,0,0,52043,"66186C",180
40152560,"driver",,112,19,1,52043,"83089A",180
40152561,"programming",,112,0,0,52043,"83089A",180
40152562,"driver",,114,18,2,52043,"18500B",180
40152563,"programming",,114,0,0,52043,"18500B",180
40152564,"driver",,115,18,1,52043,"8853A",180
40152565,"programming",,115,0,0,52043,"8853A",180
40152566,"driver",,115,18,1,52043,"16168A",180
40152567,"programming",,115,0,0,52043,"16168A",180
40152568,"driver",,117,18,1,52043,"27112F",180
40152569,"programming",,117,0,0,52043,"27112F",180
40152570,"driver",,118,16,1,52043,"66063D",180
40152571,"programming",,118,0,0,52043,"66063D",180
40152572,"driver",,119,15,1,52043,"91919Y",180
40152573,"programming",,119,0,0,52043,"91919Y",180
40152574,"driver",,120,14,1,52043,"83089B",180
40152575,"programming",,120,0,0,52043,"83089B",180
40152576,"driver",,121,14,1,52043,"98888C",180
40152577,"programming",,121,0,0,52043,"98888C",180
40152578,"driver",,122,6,1,52043,"60068D",180
40152579,"programming",,122,0,0,52043,"60068D",180
40152580,"driver",,123,5,1,52043,"4396A",180
40152581,"programming",,123,0,0,52043,"4396A",180
40152582,"driver",,123,5,1,52043,"67777B",180
40152583,"programming",,123,0,0,52043,"67777B",180
40152584,"driver",,123,5,1,52043,"5666A",180
40152585,"programming",,123,0,0,52043,"5666A",180
40152586,"driver",,126,1,1,52043,"71888M",180
40152587,"programming",,126,0,0,52043,"71888M",180
40152588,"driver",,127,0,1,52043,"91919B",180
40152589,"programming",,127,0,0,52043,"91919B",180
40152590,"driver",,127,0,1,52043,"91919Z",180
40152591,"programming",,127,0,0,52043,"91919Z",180
40152592,"driver",,127,0,1,52043,"49186E",180
40152593,"programming",,127,0,0,52043,"49186E",180
40152594,"driver",,127,0,1,52043,"76767B",180
40152595,"programming",,127,0,0,52043,"76767B",180
36965426,"driver",,1,82,1,52044,"96688A",180
36965427,"programming",,1,66,1,52044,"96688A",180
36965428,"driver",,2,81,2,52044,"27115B",180
36965429,"programming",,2,66,2,52044,"27115B",180
36965430,"driver",,3,79,3,52044,"27112A",180
36965431,"programming",,3,66,3,52044,"27112A",180
36965432,"driver",,4,79,2,52044,"1298A",180
36965433,"programming",,4,57,2,52044,"1298A",180
36965434,"driver",,5,74,2,52044,"27115A",180
36965435,"programming",,5,50,2,52044,"27115A",180
36965436,"driver",,6,74,2,52044,"10458C",180
36965437,"programming",,6,47,2,52044,"10458C",180
36965438,"driver",,7,66,2,52044,"10458B",180
36965439,"programming",,7,47,2,52044,"10458B",180
36965440,"driver",,8,77,2,52044,"88613E",180
36965441,"programming",,8,20,2,52044,"88613E",180
36965442,"driver",,9,58,1,52044,"7766A",180
36965443,"programming",,9,37,1,52044,"7766A",180
36965444,"driver",,10,87,1,52044,"671B",180
36965445,"programming",,10,0,0,52044,"671B",180
36965446,"driver",,11,55,3,52044,"1661A",180
36965447,"programming",,11,29,3,52044,"1661A",180
36965448,"driver",,12,83,1,52044,"72333U",180
36965449,"programming",,12,0,0,52044,"72333U",180
36965450,"driver",,13,62,1,52044,"88613N",180
36965451,"programming",,13,20,1,52044,"88613N",180
36965452,"driver",,14,71,1,52044,"13090A",180
36965453,"programming",,14,5,1,52044,"13090A",180
36965454,"driver",,15,76,2,52044,"91902A",180
36965455,"programming",,15,0,0,52044,"91902A",180
36965456,"driver",,16,45,1,52044,"10458A",180
36965457,"programming",,16,29,1,52044,"10458A",180
36965458,"driver",,17,50,2,52044,"88613W",180
36965459,"programming",,17,20,1,52044,"88613W",180
36965460,"driver",,18,66,2,52044,"91902B",180
36965461,"programming",,18,0,0,52044,"91902B",180
36965462,"driver",,19,51,1,52044,"15159A",180
36965463,"programming",,19,10,1,52044,"15159A",180
36965464,"driver",,20,54,1,52044,"57521Z",180
36965465,"programming",,20,0,0,52044,"57521Z",180
36965466,"driver",,21,48,1,52044,"13090E",180
36965467,"programming",,21,0,0,52044,"13090E",180
36965468,"driver",,22,36,1,52044,"82177A",180
36965469,"programming",,22,10,1,52044,"82177A",180
